type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
task,105.0,1,715.0,1,"(1, 0)",001,696.0,5,"(4, 5)",0.0,common
task,106.0,1,915.0,1,"(0, 1)",001,731.0,5,"(4, 5)",0.0,common
task,107.0,1,579.0,1,"(1, 0)",001,445.0,4,"(4, 5)",0.0,common
task,108.0,1,485.0,1,"(1, 0)",001,577.0,3,"(2, 3)",0.0,rare
task,109.0,1,308.0,0,"(0, 1)",001,826.0,5,"(4, 5)",1.0,rare
task,110.0,0,437.0,1,"(1, 0)",001,871.0,2,"(2, 3)",1.0,rare
task,111.0,1,502.0,1,"(1, 0)",001,992.0,4,"(5, 4)",0.0,common
task,112.0,1,605.0,0,"(0, 1)",001,923.0,2,"(2, 3)",1.0,common
task,113.0,1,866.0,0,"(0, 1)",001,1096.0,3,"(3, 2)",0.0,common
task,114.0,0,1484.0,1,"(0, 1)",001,1064.0,2,"(2, 3)",1.0,rare
task,115.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",1.0,
task,116.0,1,457.0,1,"(1, 0)",001,697.0,4,"(5, 4)",1.0,common
task,117.0,0,499.0,1,"(1, 0)",001,1145.0,2,"(2, 3)",0.0,rare
task,118.0,1,452.0,1,"(1, 0)",001,823.0,2,"(3, 2)",0.0,rare
task,119.0,0,580.0,1,"(1, 0)",001,591.0,4,"(4, 5)",0.0,common
task,120.0,0,397.0,1,"(1, 0)",001,300.0,5,"(4, 5)",0.0,common
task,121.0,1,516.0,0,"(0, 1)",001,413.0,2,"(2, 3)",1.0,common
task,122.0,0,483.0,0,"(1, 0)",001,494.0,3,"(3, 2)",0.0,common
task,123.0,1,559.0,1,"(1, 0)",001,436.0,2,"(3, 2)",1.0,rare
task,124.0,1,458.0,1,"(1, 0)",001,478.0,4,"(5, 4)",0.0,common
task,125.0,1,521.0,1,"(0, 1)",001,644.0,3,"(3, 2)",0.0,rare
task,126.0,0,650.0,1,"(0, 1)",001,529.0,4,"(4, 5)",0.0,common
task,127.0,1,438.0,1,"(0, 1)",001,490.0,4,"(5, 4)",0.0,common
task,128.0,1,508.0,1,"(0, 1)",001,661.0,4,"(5, 4)",0.0,common
task,129.0,0,607.0,1,"(0, 1)",001,883.0,4,"(4, 5)",0.0,common
task,130.0,1,1282.0,1,"(0, 1)",001,1061.0,4,"(5, 4)",0.0,common
task,131.0,1,473.0,1,"(1, 0)",001,732.0,4,"(5, 4)",0.0,common
task,132.0,1,711.0,1,"(0, 1)",001,849.0,2,"(3, 2)",0.0,rare
task,133.0,0,584.0,0,"(1, 0)",001,506.0,2,"(2, 3)",1.0,common
task,134.0,0,542.0,0,"(0, 1)",001,599.0,2,"(3, 2)",0.0,common
task,135.0,1,432.0,1,"(1, 0)",001,668.0,4,"(5, 4)",1.0,common
task,136.0,1,546.0,1,"(1, 0)",001,581.0,4,"(4, 5)",0.0,common
task,137.0,1,451.0,1,"(0, 1)",001,479.0,4,"(4, 5)",0.0,common
task,138.0,1,540.0,1,"(0, 1)",001,860.0,3,"(2, 3)",0.0,rare
task,139.0,1,477.0,1,"(1, 0)",001,555.0,4,"(5, 4)",0.0,common
task,140.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
