type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,switch
task,139.0,1,477.0,0,"(1, 0)",003,555.0,1,"(5, 4)",1.0
task,140.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",1.0
task,141.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,142.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,143.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,144.0,1,285.0,0,"(0, 1)",003,829.0,1,"(4, 5)",1.0
task,145.0,0,1740.0,1,"(1, 0)",003,550.0,0,"(2, 3)",1.0
task,146.0,0,1375.0,0,"(0, 1)",003,357.0,0,"(3, 2)",1.0
task,147.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",1.0
task,148.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,149.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,150.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,151.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,152.0,0,182.0,0,"(0, 1)",003,458.0,1,"(2, 3)",1.0
task,153.0,0,110.0,1,"(1, 0)",003,370.0,1,"(2, 3)",1.0
task,154.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",1.0
task,155.0,1,218.0,0,"(1, 0)",003,637.0,0,"(2, 3)",1.0
task,156.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",1.0
task,157.0,1,175.0,0,"(0, 1)",003,273.0,0,"(3, 2)",1.0
task,158.0,0,253.0,0,"(1, 0)",003,699.0,0,"(4, 5)",0.0
task,159.0,0,270.0,1,"(1, 0)",003,511.0,0,"(3, 2)",1.0
task,160.0,0,219.0,0,"(1, 0)",003,365.0,0,"(5, 4)",1.0
