type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
task,53.0,0,14.0,0,"(1, 0)",2,126.0,4,"(5, 4)",0.0,rare
task,54.0,1,332.0,1,"(1, 0)",2,79.0,5,"(4, 5)",1.0,common
task,55.0,0,294.0,0,"(0, 1)",2,15.0,3,"(2, 3)",1.0,common
task,56.0,1,401.0,0,"(0, 1)",2,3.0,5,"(4, 5)",0.0,rare
task,57.0,1,280.0,1,"(0, 1)",2,483.0,4,"(4, 5)",1.0,common
task,58.0,1,144.0,0,"(1, 0)",2,51.0,2,"(2, 3)",1.0,common
task,59.0,0,22.0,1,"(0, 1)",2,92.0,2,"(2, 3)",1.0,rare
task,60.0,1,207.0,1,"(0, 1)",2,101.0,2,"(2, 3)",0.0,rare
task,61.0,1,28.0,1,"(0, 1)",2,5.0,4,"(5, 4)",0.0,common
task,62.0,1,129.0,1,"(1, 0)",2,122.0,5,"(4, 5)",0.0,common
task,63.0,1,111.0,0,"(0, 1)",2,46.0,2,"(3, 2)",1.0,common
task,64.0,0,158.0,0,"(1, 0)",2,152.0,2,"(2, 3)",0.0,common
task,65.0,0,189.0,0,"(0, 1)",2,112.0,3,"(2, 3)",0.0,common
task,66.0,0,110.0,0,"(0, 1)",2,104.0,2,"(2, 3)",0.0,common
task,67.0,1,418.0,0,"(1, 0)",2,115.0,3,"(2, 3)",0.0,common
task,68.0,1,30.0,1,"(1, 0)",2,98.0,5,"(5, 4)",1.0,common
task,69.0,0,57.0,0,"(1, 0)",2,250.0,3,"(3, 2)",1.0,common
task,70.0,1,217.0,0,"(1, 0)",2,89.0,3,"(3, 2)",0.0,common
task,71.0,1,51.0,1,"(0, 1)",2,97.0,4,"(5, 4)",1.0,common
task,72.0,1,6.0,1,"(0, 1)",2,479.0,4,"(5, 4)",0.0,common
task,73.0,0,65.0,0,"(1, 0)",2,37.0,2,"(3, 2)",1.0,common
task,74.0,0,70.0,0,"(0, 1)",2,193.0,5,"(5, 4)",0.0,rare
